FID	PC0	PC1	PC2	PC3	PC4	PC5	PC6	PC7
       1	0.0152314908494	-0.0035450989281	-0.0012968415376	0.0098069659083	0.1026550149871	-0.0318347249794	-0.0389311607780	-0.0152517358917
       2	-0.0040569269565	0.0154275602000	0.0007861048852	0.0045876556583	-0.0084314996580	0.0011063215905	0.0019527131536	-0.0058787250115
       3	0.0156781391930	-0.0038020821975	0.0014067548955	0.0058465301094	0.0024579357986	0.0004549053074	-0.0033708192818	0.0123281389965
       4	-0.0086611192393	-0.0013481660461	-0.0024897173118	-0.0069213690166	-0.0104622978011	-0.0015097903267	0.0063146690940	-0.0020165495670
       5	0.0072055383212	0.0046881300420	-0.0002870358941	-0.0159331847999	-0.0098266914831	0.0026813343151	0.0019740768855	-0.0003310362742
       6	-0.0019570550691	0.0130918393198	-0.0011479923976	0.0060086899766	0.0179491182012	0.0013591393606	0.0079349281521	-0.0004410576821
       7	-0.0110751964113	-0.0112924316598	0.0023022196220	0.0030314158766	0.0029925706361	0.0031978523612	-0.0132850437207	0.0074862866929
       8	0.0153632875759	-0.0037982183869	0.0002634875531	0.0106790087440	0.0122552430910	0.0002210752396	0.0006783786005	-0.0013183219119
       9	-0.0044203552407	0.0152443133061	-0.0022713038096	0.0071736075329	0.0000960236877	-0.0027141486534	0.0026077584743	0.0006227244724
      10	-0.0032919001869	0.0146178762915	-0.0005096299585	0.0090401966172	-0.0123520950629	0.0161399286735	0.0067279135195	0.0020928242357
      11	-0.0112993677810	-0.0113691349857	-0.0043310053084	0.0099874998376	-0.0009138744990	-0.0022727149842	-0.0035042869668	-0.0007490930797
      12	-0.0044162692079	0.0152016570428	0.0005867989074	0.0032563981154	0.0074867929081	-0.0160688192356	-0.0112632388627	0.0067100588431
      13	-0.0043640775576	0.0154782561032	-0.0010142573577	0.0067525704204	-0.0063882763590	0.0008209226207	0.0070505356148	0.0099274415071
      14	0.0155275649561	-0.0037657249344	0.0004569806727	0.0039750981541	-0.0142573062622	-0.0047428069136	-0.0039547140240	-0.0015405714557
      15	-0.0049349668572	0.0137993339947	-0.0018662324605	-0.0121216869192	0.0020304269846	0.0003179300788	-0.0056912054581	0.0052119571315
      16	-0.0040341294423	0.0152065885703	-0.0020729761676	0.0057568660608	-0.0025769708800	-0.0132188817038	-0.0019543281697	0.0092200168328
      17	-0.0101312194807	-0.0072800817781	-0.0008884017506	0.0019545069618	-0.0115124451720	-0.0106135587522	0.0026498734028	0.0106355767255
      18	-0.0046369503722	0.0140707213811	-0.0041444290054	-0.0042087105009	0.0067230719785	-0.0052382044714	0.0096071674104	0.0093324815045
      19	0.0155237819204	-0.0036992307615	-0.0031672672714	0.0122645060983	0.0139557615310	-0.0147101508785	-0.0015152442313	0.0007461438153
      20	0.0059645003553	0.0058579539673	0.0023036770312	-0.0066096764223	0.0051288437577	0.0215113491240	-0.0134308963175	0.0223612490860
      21	0.0152203603451	-0.0038711999993	0.0001183394049	0.0127530008016	0.0004333913487	-0.0039459671585	-0.0114429200004	-0.0024046005541
      22	0.0017489438045	-0.0078325226549	0.0003505580806	-0.0102820670064	0.0063324725856	-0.0209059717772	-0.0108790502491	0.0126164231660
      23	-0.0114488744448	-0.0113268778438	-0.0022414482102	0.0043689544508	0.0059285957879	0.0096288190264	-0.0105759830064	0.0095602728061
